Player,Salary,Year
Angel McCoughtry,"$115,500",2018
Skylar Diggins,"$115,500",2018
Allie Quigley,"$115,500",2018
Chiney Ogwumike,"$115,500",2018
Tina Charles,"$115,500",2018
Sue Bird,"$115,500",2018
Candace Parker,"$115,500",2018
Diana Taurasi,"$115,500",2018
Candice Dupree,"$115,500",2018
Elena Delle,"$115,000",2018
Jantel Lavender,"$113,000",2018
Jessica Breland,"$113,000",2018
Alyssa Thomas,"$113,000",2018
Elizabeth Williams,"$113,000",2018
Nneka Ogwumike,"$113,000",2018
Natasha Howard,"$113,000",2018
Tiffany Hayes,"$113,000",2018
Courtney Vandersloot,"$113,000",2018
Tayler Hill,"$113,000",2018
Stefanie Dolson,"$113,000",2018
Brittney Griner,"$113,000",2018
Liz Cambage,"$113,000",2018
Kristi Toliver,"$113,000",2018
Kelsey Bone,"$112,000",2018
Sylvia Fowles,"$111,180",2018
Courtney Paris,"$111,000",2018
Rebekkah Brunson,"$110,900",2018
Danielle Robinson,"$110,000",2018
Renee Montgomery,"$105,000",2018
Monique Currie,"$105,000",2018
Shekinna Stricklen,"$104,000",2018
Theresa Plaisance,"$102,000",2018
Camille Little,"$100,000",2018
Bria Hartley,"$100,000",2018
Tamera Young,"$99,500",2018
Breanna Stewart,"$95,318",2018
Leilani Mitchell,"$94,860",2018
Kayla Alexander,"$91,800",2018
Layshia Clarendon,"$91,700",2018
Carolyn Swords,"$85,000",2018
Alysha Clark,"$82,500",2018
Shenise Johnson,"$70,000",2018
Noelle Quinn,"$70,000",2018
Tianna Hawkins,"$68,700",2018
Kaleena Mosqueda,"$63,297",2018
Krystal Thomas,"$56,942",2018
Rachel Banham,"$56,793",2018
Moriah Jefferson,"$56,793",2018
Morgan Tuck,"$56,793",2018
Rebecca Allen,"$56,100",2018
Astou Ndour,"$56,100",2018
Kelsey Plum,"$52,623",2018
Allisha Gray,"$52,623",2018
Kelsey Mitchell,"$52,564",2018
Diamond DeShields,"$52,564",2018
Gabby Williams,"$52,564",2018
Alaina Coates,"$52,564",2018
A'ja Wilson,"$52,564",2018
Aerial Powers,"$52,552",2018
Kahleah Copper,"$52,552",2018
Jonquel Jones,"$52,552",2018
Courtney Williams,"$52,552",2018
Kiah Stokes,"$52,265",2018
Sami Whitcomb,"$50,000",2018
Brittney Sykes,"$48,693",2018
Brionna Jones,"$48,693",2018
Shatori Walker,"$48,693",2018
Nia Coffey,"$48,693",2018
Victoria Vivians,"$48,638",2018
Jordin Canada,"$48,638",2018
Ariel Atkins,"$48,638",2018
Azurá Stevens,"$48,638",2018
Imani McGee,"$46,896",2018
Bria Holmes,"$46,896",2018
Tiffany Mitchell,"$46,896",2018
Isabelle Harrison,"$46,896",2018
Alexis Jones,"$43,452",2018
Kaela Davis,"$43,452",2018
Sydney Wiese,"$43,452",2018
Maria Vadeeva,"$43,404",2018
Lexie Brown,"$43,404",2018
Kia Nurse,"$43,404",2018
Marie Gülich,"$43,404",2018
Temi Fagbenle,"$43,311",2018
Erica McCall,"$41,843",2018
Jaime Nared,"$41,796",2018
JiSu Park,"$41,796",2018
Stephanie Mavunga,"$41,796",2018
Myisha Hines,"$41,796",2018
Monique Billings,"$41,796",2018
Stephanie Talbot,"$41,248",2018
Kayla Thornton,"$41,248",2018
Leticia Romero,"$41,202",2018
Linnae Harper,"$41,202",2018
Cecilia Zandalasini,"$41,202",2018
Lindsay Allen,"$41,202",2018
DeWanna Bonner,"$127,500",2019
Sue Bird,"$117,500",2019
Briann January,"$117,500",2019
Tina Charles,"$117,500",2019
Angel McCoughtry,"$117,500",2019
Glory Johnson,"$117,500",2019
Candice Dupree,"$117,500",2019
Chiney Ogwumike,"$117,500",2019
Candace Parker,"$117,500",2019
Jewell Loyd,"$117,500",2019
Diana Taurasi,"$117,500",2019
Emma Meesseman,"$117,500",2019
Allie Quigley,"$117,500",2019
Courtney Vandersloot,"$117,500",2019
Jasmine Thomas,"$117,500",2019
Skylar Diggins,"$117,500",2019
Elena Delle,"$117,000",2019
Tiffany Hayes,"$115,260",2019
Elizabeth Williams,"$115,000",2019
Natasha Cloud,"$115,000",2019
Stefanie Dolson,"$115,000",2019
Kristi Toliver,"$115,000",2019
Liz Cambage,"$115,000",2019
Chelsea Gray,"$115,000",2019
Brittney Griner,"$115,000",2019
Jessica Breland,"$115,000",2019
Jantel Lavender,"$115,000",2019
Alyssa Thomas,"$115,000",2019
Dearica Hamby,"$115,000",2019
Nneka Ogwumike,"$115,000",2019
Kayla McBride,"$115,000",2019
Odyssey Sims,"$115,000",2019
Natasha Howard,"$115,000",2019
LaToya Sanders,"$115,000",2019
Tayler Hill,"$115,000",2019
Sylvia Fowles,"$113,360",2019
Sylvia Fowles,"$113,360",2019
Seimone Augustus,"$111,000",2019
Courtney Paris,"$111,000",2019
Riquna Williams,"$110,000",2019
Cheyenne Parker,"$110,000",2019
Danielle Robinson,"$108,000",2019
Amanda Zahui,"$108,000",2019
Alana Beard,"$108,000",2019
Renee Montgomery,"$107,000",2019
Shekinna Stricklen,"$106,000",2019
Natalie Achonwa,"$105,000",2019
Damiris Dantas,"$105,000",2019
Crystal Langhorne,"$105,000",2019
Theresa Plaisance,"$104,000",2019
